id,category,condition,gold_action,gold_answer,pred_action,pred_answer,correct
temporal-0000,temporal,gold_state,ANSWER,Eli,ANSWER,Eli,1
temporal-0000,temporal,predicted_state,ANSWER,Eli,ANSWER,unknown,0
temporal-0000,temporal,corrupted_state,ANSWER,Eli,ANSWER,unknown,0
temporal-0001,temporal,gold_state,ANSWER,Gio,ANSWER,Gio,1
temporal-0001,temporal,predicted_state,ANSWER,Gio,ANSWER,Gio,1
temporal-0001,temporal,corrupted_state,ANSWER,Gio,ANSWER,Gio,1
temporal-0002,temporal,gold_state,ANSWER,Faye,ANSWER,Faye,1
temporal-0002,temporal,predicted_state,ANSWER,Faye,ANSWER,Faye,1
temporal-0002,temporal,corrupted_state,ANSWER,Faye,ANSWER,Faye,1
temporal-0003,temporal,gold_state,ANSWER,Gio,ANSWER,Gio,1
temporal-0003,temporal,predicted_state,ANSWER,Gio,ANSWER,Hana,0
temporal-0003,temporal,corrupted_state,ANSWER,Gio,ANSWER,Hana,0
temporal-0004,temporal,gold_state,ANSWER,Ari,ANSWER,Ari,1
temporal-0004,temporal,predicted_state,ANSWER,Ari,ANSWER,unknown,0
temporal-0004,temporal,corrupted_state,ANSWER,Ari,ANSWER,unknown,0
temporal-0005,temporal,gold_state,ANSWER,Ari,ANSWER,Ari,1
temporal-0005,temporal,predicted_state,ANSWER,Ari,ANSWER,Cato,0
temporal-0005,temporal,corrupted_state,ANSWER,Ari,ANSWER,Cato,0
temporal-0006,temporal,gold_state,ANSWER,Eli,ANSWER,Eli,1
temporal-0006,temporal,predicted_state,ANSWER,Eli,ANSWER,Eli,1
temporal-0006,temporal,corrupted_state,ANSWER,Eli,ANSWER,Eli,1
temporal-0007,temporal,gold_state,ANSWER,Luca,ANSWER,Luca,1
temporal-0007,temporal,predicted_state,ANSWER,Luca,ANSWER,Dina,0
temporal-0007,temporal,corrupted_state,ANSWER,Luca,ANSWER,Dina,0
temporal-0008,temporal,gold_state,ANSWER,Cato,ANSWER,Cato,1
temporal-0008,temporal,predicted_state,ANSWER,Cato,ANSWER,Ivan,0
