blind_id,item_id,question,evidence,action,answer,temporal_state,modality,scope,source_status,observer_state,world,notes
f8235235f5a87471,hidden_premise-0535,Can I register now?,"[{""text"": ""Registration is open for Alpha residents until day 13."", ""actor"": ""Alpha"", ""event"": ""eligibility"", ""target"": ""registration"", ""time"": 8, ""valid_from"": 8, ""valid_to"": 13, ""status"": ""confirmed"", ""source"": ""official"", ""scope"": ""Alpha""}]",CLARIFY,CLARIFY,stable,confirmed,limited,reliable,shared,actual,SIMULATED persona=context_specialist; not a human rating
b6462273b6aa14b2,modality-0162,Has Gamma been closed?,"[{""text"": ""The board is considering closing Gamma."", ""actor"": ""board"", ""event"": ""close"", ""target"": ""Gamma"", ""time"": 15, ""valid_from"": 15, ""status"": ""proposed"", ""source"": ""official"", ""scope"": ""Gamma""}, {""text"": ""No decision has been made about closing Gamma."", ""actor"": ""board"", ""event"": ""not_decided"", ""target"": ""Gamma"", ""time"": 16, ""valid_from"": 16, ""status"": ""confirmed"", ""source"": ""official"", ""scope"": ""Gamma""}]",ANSWER,no,stable,proposed,global,reliable,shared,actual,SIMULATED persona=context_specialist; not a human rating
10d7241a65a3946a,temporal-0012,Who is the current chair at time 7?,"[{""text"": ""Bora resigned as chair."", ""actor"": ""Bora"", ""event"": ""resign"", ""target"": ""chair"", ""time"": 3, ""valid_from"": 3, ""status"": ""confirmed"", ""source"": ""official"", ""scope"": ""global""}, {""text"": ""Bora was appointed chair."", ""actor"": ""Bora"", ""event"": ""appoint"", ""target"": ""chair"", ""time"": 1, ""valid_from"": 1, ""status"": ""confirmed"", ""source"": ""official"", ""scope"": ""global""}, {""text"": ""Kira was appointed chair."", ""actor"": ""Kira"", ""event"": ""appoint"", ""target"": ""chair"", ""time"": 4, ""valid_from"": 4, ""status"": ""confirmed"", ""source"": ""official"", ""scope"": ""global""}]",ANSWER,Kira,alternate_temporal_state,confirmed,global,reliable,shared,actual,SIMULATED persona=context_specialist; not a human rating
3a6a6f0dbe5b9a39,observer-0286,Does Ivan believe the meeting will occur?,"[{""text"": ""Ivan received the original meeting invitation."", ""actor"": ""Ivan"", ""event"": ""invite"", ""target"": ""meeting"", ""time"": 8, ""valid_from"": 8, ""status"": ""confirmed"", ""source"": ""email"", ""scope"": ""Ivan""}, {""text"": ""The meeting was cancelled, but Ivan did not receive the cancellation."", ""actor"": ""Ivan"", ""event"": ""cancel"", ""target"": ""meeting"", ""time"": 10, ""valid_from"": 10, ""status"": ""confirmed"", ""source"": ""organizer"", ""scope"": ""organizers"", ""observed_by"": [""Juno"", ""Dina""]}]",ANSWER,yes,stable,confirmed,global,reliable,partial,actual,SIMULATED persona=context_specialist; not a human rating
639619bbd886e7e8,hidden_premise-0184,Can I register now?,"[{""text"": ""Registration is open for Beta residents until day 7."", ""actor"": ""Beta"", ""event"": ""eligibility"", ""target"": ""registration"", ""time"": 2, ""valid_from"": 2, ""valid_to"": 7, ""status"": ""confirmed"", ""source"": ""official"", ""scope"": ""Beta""}]",CLARIFY,CLARIFY,stable,confirmed,limited,reliable,shared,actual,SIMULATED persona=context_specialist; not a human rating
779209be34c6c466,temporal-0525,Who is the current director at time 15?,"[{""text"": ""Kira resigned as director."", ""actor"": ""Kira"", ""event"": ""resign"", ""target"": ""director"", ""time"": 14, ""valid_from"": 14, ""status"": ""confirmed"", ""source"": ""official"", ""scope"": ""global""}, {""text"": ""Kira was appointed director."", ""actor"": ""Kira"", ""event"": ""appoint"", ""target"": ""director"", ""time"": 12, ""valid_from"": 12, ""status"": ""confirmed"", ""source"": ""official"", ""scope"": ""global""}, {""text"": ""Juno was appointed director."", ""actor"": ""Juno"", ""event"": ""appoint"", ""target"": ""director"", ""time"": 15, ""valid_from"": 15, ""status"": ""confirmed"", ""source"": ""official"", ""scope"": ""global""}]",ANSWER,Juno,relevant,confirmed,alternate_scope,reliable,shared,actual,SIMULATED persona=context_specialist; not a human rating
3d1ac7ff694e6cf3,observer-0575,Does Luca believe the meeting will occur?,"[{""text"": ""The meeting was cancelled, but Luca did not receive the cancellation."", ""actor"": ""Luca"", ""event"": ""cancel"", ""target"": ""meeting"", ""time"": 7, ""valid_from"": 7, ""status"": ""confirmed"", ""source"": ""organizer"", ""scope"": ""organizers"", ""observed_by"": [""Ivan"", ""Dina""]}, {""text"": ""Luca received the original meeting invitation."", ""actor"": ""Luca"", ""event"": ""invite"", ""target"": ""meeting"", ""time"": 5, ""valid_from"": 5, ""status"": ""confirmed"", ""source"": ""email"", ""scope"": ""Luca""}]",ANSWER,yes,stable,confirmed,global,reliable,partial,actual,SIMULATED persona=context_specialist; not a human rating
d797934374031aac,hidden_premise-0060,Can I register now?,"[{""text"": ""Registration is open for Beta residents until day 20."", ""actor"": ""Beta"", ""event"": ""eligibility"", ""target"": ""registration"", ""time"": 15, ""valid_from"": 15, ""valid_to"": 20, ""status"": ""confirmed"", ""source"": ""official"", ""scope"": ""Beta""}]",CLARIFY,CLARIFY,stable,confirmed,limited,reliable,shared,actual,SIMULATED persona=context_specialist; not a human rating
f6453757b286c8f7,source_conflict-0408,Who is the chair?,"[{""text"": ""An anonymous post says Luca became chair."", ""actor"": ""Luca"", ""event"": ""appoint"", ""target"": ""chair"", ""time"": 7, ""valid_from"": 7, ""status"": ""rumor"", ""source"": ""anonymous"", ""scope"": ""global""}, {""text"": ""The official notice confirms Cato as chair."", ""actor"": ""Cato"", ""event"": ""appoint"", ""target"": ""chair"", ""time"": 8, ""valid_from"": 8, ""status"": ""confirmed"", ""source"": ""official"", ""scope"": ""global""}]",ANSWER,Cato,stable,confirmed,global,conflict,shared,actual,SIMULATED persona=context_specialist; not a human rating
bc8d6e2f738f581d,source_conflict-0338,Who is the chair?,"[{""text"": ""An anonymous post says Ari became chair."", ""actor"": ""Ari"", ""event"": ""appoint"", ""target"": ""chair"", ""time"": 9, ""valid_from"": 9, ""status"": ""rumor"", ""source"": ""anonymous"", ""scope"": ""global""}, {""text"": ""The official notice confirms Dina as chair."", ""actor"": ""Dina"", ""event"": ""appoint"", ""target"": ""chair"", ""time"": 10, ""valid_from"": 10, ""status"": ""confirmed"", ""source"": ""official"", ""scope"": ""global""}]",ANSWER,Dina,stable,confirmed,global,conflict,shared,actual,SIMULATED persona=context_specialist; not a human rating
a5befc3bdd073d19,observer-0355,Does Juno believe the meeting will occur?,"[{""text"": ""The meeting was cancelled, but Juno did not receive the cancellation."", ""actor"": ""Juno"", ""event"": ""cancel"", ""target"": ""meeting"", ""time"": 9, ""valid_from"": 9, ""status"": ""confirmed"", ""source"": ""organizer"", ""scope"": ""organizers"", ""observed_by"": [""Ivan"", ""Gio""]}, {""text"": ""Juno received the original meeting invitation."", ""actor"": ""Juno"", ""event"": ""invite"", ""target"": ""meeting"", ""time"": 7, ""valid_from"": 7, ""status"": ""confirmed"", ""source"": ""email"", ""scope"": ""Juno""}]",ANSWER,yes,stable,confirmed,global,reliable,partial,actual,SIMULATED persona=context_specialist; not a human rating
4cec2bc64bf5b67d,temporal-0443,Who is the current coordinator at time 11?,"[{""text"": ""Dina was appointed coordinator."", ""actor"": ""Dina"", ""event"": ""appoint"", ""target"": ""coordinator"", ""time"": 2, ""valid_from"": 2, ""status"": ""confirmed"", ""source"": ""official"", ""scope"": ""global""}, {""text"": ""Dina resigned as coordinator."", ""actor"": ""Dina"", ""event"": ""resign"", ""target"": ""coordinator"", ""time"": 5, ""valid_from"": 5, ""status"": ""confirmed"", ""source"": ""official"", ""scope"": ""global""}, {""text"": ""Ivan was appointed coordinator."", ""actor"": ""Ivan"", ""event"": ""appoint"", ""target"": ""coordinator"", ""time"": 6, ""valid_from"": 6, ""status"": ""confirmed"", ""source"": ""official"", ""scope"": ""global""}]",ANSWER,Ivan,relevant,confirmed,global,reliable,shared,alternate_world,SIMULATED persona=context_specialist; not a human rating
de99bf957c37bd5c,hidden_premise-0580,Can I register now?,"[{""text"": ""Registration is open for Gamma residents until day 12."", ""actor"": ""Gamma"", ""event"": ""eligibility"", ""target"": ""registration"", ""time"": 7, ""valid_from"": 7, ""valid_to"": 12, ""status"": ""confirmed"", ""source"": ""official"", ""scope"": ""Gamma""}]",CLARIFY,CLARIFY,stable,confirmed,limited,reliable,shared,actual,SIMULATED persona=context_specialist; not a human rating
feed0e8eee718b0c,temporal-0098,Who is the current manager at time 19?,"[{""text"": ""Faye resigned as manager."", ""actor"": ""Faye"", ""event"": ""resign"", ""target"": ""manager"", ""time"": 15, ""valid_from"": 15, ""status"": ""confirmed"", ""source"": ""official"", ""scope"": ""global""}, {""text"": ""Dina was appointed manager."", ""actor"": ""Dina"", ""event"": ""appoint"", ""target"": ""manager"", ""time"": 16, ""valid_from"": 16, ""status"": ""confirmed"", ""source"": ""official"", ""scope"": ""global""}, {""text"": ""Faye was appointed manager."", ""actor"": ""Faye"", ""event"": ""appoint"", ""target"": ""manager"", ""time"": 14, ""valid_from"": 14, ""status"": ""confirmed"", ""source"": ""official"", ""scope"": ""global""}]",ANSWER,Dina,alternate_temporal_state,confirmed,global,reliable,shared,actual,SIMULATED persona=context_specialist; not a human rating
2549464cb219c208,hidden_premise-0054,Can I register now?,"[{""text"": ""Registration is open for Delta residents until day 11."", ""actor"": ""Delta"", ""event"": ""eligibility"", ""target"": ""registration"", ""time"": 6, ""valid_from"": 6, ""valid_to"": 11, ""status"": ""confirmed"", ""source"": ""official"", ""scope"": ""Delta""}]",CLARIFY,CLARIFY,stable,confirmed,limited,reliable,shared,actual,SIMULATED persona=context_specialist; not a human rating
d29a7fcd59826f24,temporal-0165,Who is the current director at time 11?,"[{""text"": ""Bora resigned as director."", ""actor"": ""Bora"", ""event"": ""resign"", ""target"": ""director"", ""time"": 8, ""valid_from"": 8, ""status"": ""confirmed"", ""source"": ""official"", ""scope"": ""global""}, {""text"": ""Juno was appointed director."", ""actor"": ""Juno"", ""event"": ""appoint"", ""target"": ""director"", ""time"": 9, ""valid_from"": 9, ""status"": ""confirmed"", ""source"": ""official"", ""scope"": ""global""}, {""text"": ""Bora was appointed director."", ""actor"": ""Bora"", ""event"": ""appoint"", ""target"": ""director"", ""time"": 6, ""valid_from"": 6, ""status"": ""confirmed"", ""source"": ""official"", ""scope"": ""global""}]",ANSWER,Juno,relevant,confirmed,global,reliable,shared,actual,SIMULATED persona=context_specialist; not a human rating
70e6360c5c76738e,modality-0202,Has Delta been closed?,"[{""text"": ""The board is considering closing Delta."", ""actor"": ""board"", ""event"": ""close"", ""target"": ""Delta"", ""time"": 16, ""valid_from"": 16, ""status"": ""proposed"", ""source"": ""official"", ""scope"": ""Delta""}, {""text"": ""No decision has been made about closing Delta."", ""actor"": ""board"", ""event"": ""not_decided"", ""target"": ""Delta"", ""time"": 17, ""valid_from"": 17, ""status"": ""confirmed"", ""source"": ""official"", ""scope"": ""Delta""}]",ANSWER,no,stable,proposed,global,reliable,shared,actual,SIMULATED persona=context_specialist; not a human rating
0bd89eec19602b9f,modality-0066,Has Delta been closed?,"[{""text"": ""The board is considering closing Delta."", ""actor"": ""board"", ""event"": ""close"", ""target"": ""Delta"", ""time"": 18, ""valid_from"": 18, ""status"": ""proposed"", ""source"": ""official"", ""scope"": ""Delta""}, {""text"": ""No decision has been made about closing Delta."", ""actor"": ""board"", ""event"": ""not_decided"", ""target"": ""Delta"", ""time"": 19, ""valid_from"": 19, ""status"": ""confirmed"", ""source"": ""official"", ""scope"": ""Delta""}]",ANSWER,no,stable,proposed,global,reliable,shared,actual,SIMULATED persona=context_specialist; not a human rating
48022cc12b585326,observer-0036,Does Gio believe the meeting will occur?,"[{""text"": ""The meeting was cancelled, but Gio did not receive the cancellation."", ""actor"": ""Gio"", ""event"": ""cancel"", ""target"": ""meeting"", ""time"": 19, ""valid_from"": 19, ""status"": ""confirmed"", ""source"": ""organizer"", ""scope"": ""organizers"", ""observed_by"": [""Bora"", ""Dina""]}, {""text"": ""Gio received the original meeting invitation."", ""actor"": ""Gio"", ""event"": ""invite"", ""target"": ""meeting"", ""time"": 17, ""valid_from"": 17, ""status"": ""confirmed"", ""source"": ""email"", ""scope"": ""Gio""}]",ANSWER,yes,stable,confirmed,global,reliable,partial,actual,SIMULATED persona=context_specialist; not a human rating
ad1f21001d396053,counterfactual-0103,"In the hypothetical scenario, can users access service Beta?","[{""text"": ""In reality, service Beta is offline."", ""actor"": ""Beta"", ""event"": ""offline"", ""target"": ""service"", ""time"": 15, ""valid_from"": 15, ""status"": ""confirmed"", ""source"": ""monitor"", ""scope"": ""reality""}, {""text"": ""In the hypothetical scenario, service Beta remains online."", ""actor"": ""Beta"", ""event"": ""online"", ""target"": ""service"", ""time"": 16, ""valid_from"": 16, ""status"": ""assumed"", ""source"": ""scenario"", ""scope"": ""counterfactual""}]",ANSWER,yes,stable,alternate_modality,global,reliable,shared,counterfactual,SIMULATED persona=context_specialist; not a human rating
0948748d7316ea5d,source_conflict-0239,Who is the director?,"[{""text"": ""An anonymous post says Bora became director."", ""actor"": ""Bora"", ""event"": ""appoint"", ""target"": ""director"", ""time"": 5, ""valid_from"": 5, ""status"": ""rumor"", ""source"": ""anonymous"", ""scope"": ""global""}, {""text"": ""The official notice confirms Gio as director."", ""actor"": ""Gio"", ""event"": ""appoint"", ""target"": ""director"", ""time"": 6, ""valid_from"": 6, ""status"": ""confirmed"", ""source"": ""official"", ""scope"": ""global""}]",ANSWER,Gio,stable,confirmed,global,conflict,shared,actual,SIMULATED persona=context_specialist; not a human rating
ec5fd8113bd6b9b7,modality-0171,Has Delta been closed?,"[{""text"": ""No decision has been made about closing Delta."", ""actor"": ""board"", ""event"": ""not_decided"", ""target"": ""Delta"", ""time"": 14, ""valid_from"": 14, ""status"": ""confirmed"", ""source"": ""official"", ""scope"": ""Delta""}, {""text"": ""The board is considering closing Delta."", ""actor"": ""board"", ""event"": ""close"", ""target"": ""Delta"", ""time"": 13, ""valid_from"": 13, ""status"": ""proposed"", ""source"": ""official"", ""scope"": ""Delta""}]",ANSWER,no,stable,alternate_modality,global,reliable,shared,actual,SIMULATED persona=context_specialist; not a human rating
5256b28c43efddbb,counterfactual-0370,"In the hypothetical scenario, can users access service Beta?","[{""text"": ""In the hypothetical scenario, service Beta remains online."", ""actor"": ""Beta"", ""event"": ""online"", ""target"": ""service"", ""time"": 18, ""valid_from"": 18, ""status"": ""assumed"", ""source"": ""scenario"", ""scope"": ""counterfactual""}, {""text"": ""In reality, service Beta is offline."", ""actor"": ""Beta"", ""event"": ""offline"", ""target"": ""service"", ""time"": 17, ""valid_from"": 17, ""status"": ""confirmed"", ""source"": ""monitor"", ""scope"": ""reality""}]",ANSWER,yes,stable,confirmed,global,reliable,shared,counterfactual,SIMULATED persona=context_specialist; not a human rating
725d5b73878d7088,scope-0042,Does the restructuring apply to every unit?,"[{""text"": ""A restructuring applies only to the Alpha unit."", ""actor"": ""company"", ""event"": ""restructure"", ""target"": ""Alpha"", ""time"": 16, ""valid_from"": 16, ""status"": ""confirmed"", ""source"": ""official"", ""scope"": ""Alpha""}]",ANSWER,no,stable,confirmed,limited,reliable,shared,actual,SIMULATED persona=context_specialist; not a human rating
854235ded1390559,scope-0329,Does the restructuring apply to every unit?,"[{""text"": ""A restructuring applies only to the Gamma unit."", ""actor"": ""company"", ""event"": ""restructure"", ""target"": ""Gamma"", ""time"": 8, ""valid_from"": 8, ""status"": ""confirmed"", ""source"": ""official"", ""scope"": ""Gamma""}]",ANSWER,no,stable,confirmed,limited,alternate_source_status,shared,actual,SIMULATED persona=context_specialist; not a human rating
e9baa26f7e05f01e,counterfactual-0486,"In the hypothetical scenario, can users access service Alpha?","[{""text"": ""In reality, service Alpha is offline."", ""actor"": ""Alpha"", ""event"": ""offline"", ""target"": ""service"", ""time"": 10, ""valid_from"": 10, ""status"": ""confirmed"", ""source"": ""monitor"", ""scope"": ""reality""}, {""text"": ""In the hypothetical scenario, service Alpha remains online."", ""actor"": ""Alpha"", ""event"": ""online"", ""target"": ""service"", ""time"": 11, ""valid_from"": 11, ""status"": ""assumed"", ""source"": ""scenario"", ""scope"": ""counterfactual""}]",ANSWER,yes,stable,confirmed,global,reliable,shared,alternate_world,SIMULATED persona=context_specialist; not a human rating
650e91457cf51fb1,source_conflict-0462,Who is the director?,"[{""text"": ""An anonymous post says Juno became director."", ""actor"": ""Juno"", ""event"": ""appoint"", ""target"": ""director"", ""time"": 8, ""valid_from"": 8, ""status"": ""rumor"", ""source"": ""anonymous"", ""scope"": ""global""}, {""text"": ""The official notice confirms Faye as director."", ""actor"": ""Faye"", ""event"": ""appoint"", ""target"": ""director"", ""time"": 9, ""valid_from"": 9, ""status"": ""confirmed"", ""source"": ""official"", ""scope"": ""global""}]",ANSWER,Faye,stable,confirmed,global,conflict,shared,actual,SIMULATED persona=context_specialist; not a human rating
6d4a843d2d56d69e,scope-0118,Does the restructuring apply to every unit?,"[{""text"": ""A restructuring applies only to the Gamma unit."", ""actor"": ""company"", ""event"": ""restructure"", ""target"": ""Gamma"", ""time"": 6, ""valid_from"": 6, ""status"": ""confirmed"", ""source"": ""official"", ""scope"": ""Gamma""}]",ANSWER,no,stable,confirmed,limited,reliable,shared,actual,SIMULATED persona=context_specialist; not a human rating
0d3938e25b4b8bbc,scope-0470,Does the restructuring apply to every unit?,"[{""text"": ""A restructuring applies only to the Beta unit."", ""actor"": ""company"", ""event"": ""restructure"", ""target"": ""Beta"", ""time"": 17, ""valid_from"": 17, ""status"": ""confirmed"", ""source"": ""official"", ""scope"": ""Beta""}]",ANSWER,no,stable,confirmed,alternate_scope,reliable,shared,actual,SIMULATED persona=context_specialist; not a human rating
6777897ebd3001be,hidden_premise-0135,Can I register now?,"[{""text"": ""Registration is open for Alpha residents until day 21."", ""actor"": ""Alpha"", ""event"": ""eligibility"", ""target"": ""registration"", ""time"": 16, ""valid_from"": 16, ""valid_to"": 21, ""status"": ""confirmed"", ""source"": ""official"", ""scope"": ""Alpha""}]",CLARIFY,CLARIFY,stable,confirmed,limited,reliable,shared,actual,SIMULATED persona=context_specialist; not a human rating
e22f6424acbe89fa,modality-0219,Has Delta been closed?,"[{""text"": ""No decision has been made about closing Delta."", ""actor"": ""board"", ""event"": ""not_decided"", ""target"": ""Delta"", ""time"": 18, ""valid_from"": 18, ""status"": ""confirmed"", ""source"": ""official"", ""scope"": ""Delta""}, {""text"": ""The board is considering closing Delta."", ""actor"": ""board"", ""event"": ""close"", ""target"": ""Delta"", ""time"": 17, ""valid_from"": 17, ""status"": ""proposed"", ""source"": ""official"", ""scope"": ""Delta""}]",ANSWER,no,stable,proposed,global,reliable,shared,actual,SIMULATED persona=context_specialist; not a human rating
