id,category,slot,n_claims,correct_claims,accuracy
temporal-0000,temporal,actor,3,3,1.0
temporal-0000,temporal,event,3,3,1.0
temporal-0000,temporal,time,3,0,0.0
temporal-0000,temporal,validity,3,0,0.0
temporal-0000,temporal,scope,3,3,1.0
temporal-0000,temporal,modality,3,3,1.0
temporal-0000,temporal,source_status,3,0,0.0
temporal-0000,temporal,observer_knowledge,3,3,1.0
temporal-0000,temporal,world,3,3,1.0
temporal-0001,temporal,actor,3,3,1.0
temporal-0001,temporal,event,3,3,1.0
temporal-0001,temporal,time,3,0,0.0
temporal-0001,temporal,validity,3,0,0.0
temporal-0001,temporal,scope,3,3,1.0
temporal-0001,temporal,modality,3,3,1.0
temporal-0001,temporal,source_status,3,0,0.0
temporal-0001,temporal,observer_knowledge,3,3,1.0
temporal-0001,temporal,world,3,3,1.0
temporal-0002,temporal,actor,3,3,1.0
temporal-0002,temporal,event,3,3,1.0
temporal-0002,temporal,time,3,0,0.0
temporal-0002,temporal,validity,3,0,0.0
temporal-0002,temporal,scope,3,3,1.0
temporal-0002,temporal,modality,3,3,1.0
temporal-0002,temporal,source_status,3,0,0.0
temporal-0002,temporal,observer_knowledge,3,3,1.0
temporal-0002,temporal,world,3,3,1.0
temporal-0003,temporal,actor,3,3,1.0
temporal-0003,temporal,event,3,3,1.0
temporal-0003,temporal,time,3,0,0.0
temporal-0003,temporal,validity,3,0,0.0
temporal-0003,temporal,scope,3,3,1.0
temporal-0003,temporal,modality,3,3,1.0
temporal-0003,temporal,source_status,3,0,0.0
temporal-0003,temporal,observer_knowledge,3,3,1.0
temporal-0003,temporal,world,3,3,1.0
temporal-0004,temporal,actor,3,3,1.0
temporal-0004,temporal,event,3,3,1.0
temporal-0004,temporal,time,3,0,0.0
temporal-0004,temporal,validity,3,0,0.0
temporal-0004,temporal,scope,3,3,1.0
temporal-0004,temporal,modality,3,3,1.0
temporal-0004,temporal,source_status,3,0,0.0
temporal-0004,temporal,observer_knowledge,3,3,1.0
temporal-0004,temporal,world,3,3,1.0
temporal-0005,temporal,actor,3,3,1.0
temporal-0005,temporal,event,3,3,1.0
temporal-0005,temporal,time,3,0,0.0
temporal-0005,temporal,validity,3,0,0.0
temporal-0005,temporal,scope,3,3,1.0
temporal-0005,temporal,modality,3,3,1.0
temporal-0005,temporal,source_status,3,0,0.0
temporal-0005,temporal,observer_knowledge,3,3,1.0
temporal-0005,temporal,world,3,3,1.0
temporal-0006,temporal,actor,3,3,1.0
temporal-0006,temporal,event,3,3,1.0
temporal-0006,temporal,time,3,0,0.0
temporal-0006,temporal,validity,3,0,0.0
temporal-0006,temporal,scope,3,3,1.0
temporal-0006,temporal,modality,3,3,1.0
temporal-0006,temporal,source_status,3,0,0.0
temporal-0006,temporal,observer_knowledge,3,3,1.0
temporal-0006,temporal,world,3,3,1.0
temporal-0007,temporal,actor,3,3,1.0
temporal-0007,temporal,event,3,3,1.0
temporal-0007,temporal,time,3,0,0.0
temporal-0007,temporal,validity,3,0,0.0
temporal-0007,temporal,scope,3,3,1.0
temporal-0007,temporal,modality,3,3,1.0
temporal-0007,temporal,source_status,3,0,0.0
temporal-0007,temporal,observer_knowledge,3,3,1.0
temporal-0007,temporal,world,3,3,1.0
temporal-0008,temporal,actor,3,3,1.0
temporal-0008,temporal,event,3,3,1.0
temporal-0008,temporal,time,3,0,0.0
temporal-0008,temporal,validity,3,0,0.0
temporal-0008,temporal,scope,3,3,1.0
temporal-0008,temporal,modality,3,3,1.0
temporal-0008,temporal,source_status,3,0,0.0
temporal-0008,temporal,observer_knowledge,3,3,1.0
temporal-0008,temporal,world,3,3,1.0
temporal-0009,temporal,actor,3,3,1.0
temporal-0009,temporal,event,3,3,1.0
temporal-0009,temporal,time,3,0,0.0
temporal-0009,temporal,validity,3,0,0.0
temporal-0009,temporal,scope,3,3,1.0
temporal-0009,temporal,modality,3,3,1.0
temporal-0009,temporal,source_status,3,0,0.0
temporal-0009,temporal,observer_knowledge,3,3,1.0
temporal-0009,temporal,world,3,3,1.0
temporal-0010,temporal,actor,3,3,1.0
temporal-0010,temporal,event,3,3,1.0
