item_id,question,slot,independent_labels,adjudicated_label,adjudicator_rationale
temporal-0012,Who is the current chair at time 7?,temporal_state,"[""alternate_temporal_state"", ""relevant"", ""relevant""]",,
temporal-0525,Who is the current director at time 15?,modality,"[""confirmed"", ""alternate_modality"", ""confirmed""]",,
temporal-0525,Who is the current director at time 15?,scope,"[""alternate_scope"", ""global"", ""global""]",,
observer-0575,Does Luca believe the meeting will occur?,source_status,"[""reliable"", ""reliable"", ""alternate_source_status""]",,
temporal-0443,Who is the current coordinator at time 11?,source_status,"[""reliable"", ""alternate_source_status"", ""reliable""]",,
temporal-0443,Who is the current coordinator at time 11?,world,"[""alternate_world"", ""actual"", ""actual""]",,
hidden_premise-0580,Can I register now?,temporal_state,"[""stable"", ""stable"", ""alternate_temporal_state""]",,
temporal-0098,Who is the current manager at time 19?,temporal_state,"[""alternate_temporal_state"", ""alternate_temporal_state"", ""relevant""]",,
hidden_premise-0054,Can I register now?,modality,"[""confirmed"", ""confirmed"", ""alternate_modality""]",,
observer-0036,Does Gio believe the meeting will occur?,modality,"[""confirmed"", ""alternate_modality"", ""alternate_modality""]",,
counterfactual-0103,"In the hypothetical scenario, can users access service Beta?",modality,"[""alternate_modality"", ""confirmed"", ""confirmed""]",,
modality-0171,Has Delta been closed?,modality,"[""alternate_modality"", ""proposed"", ""proposed""]",,
counterfactual-0370,"In the hypothetical scenario, can users access service Beta?",world,"[""counterfactual"", ""alternate_world"", ""counterfactual""]",,
scope-0329,Does the restructuring apply to every unit?,source_status,"[""alternate_source_status"", ""reliable"", ""reliable""]",,
counterfactual-0486,"In the hypothetical scenario, can users access service Alpha?",world,"[""alternate_world"", ""counterfactual"", ""counterfactual""]",,
scope-0470,Does the restructuring apply to every unit?,scope,"[""alternate_scope"", ""limited"", ""limited""]",,
modality-0388,Has Beta been closed?,scope,"[""global"", ""global"", ""alternate_scope""]",,
modality-0438,Has Delta been closed?,source_status,"[""reliable"", ""alternate_source_status"", ""reliable""]",,
counterfactual-0273,"In the hypothetical scenario, can users access service Beta?",modality,"[""confirmed"", ""confirmed"", ""alternate_modality""]",,
temporal-0348,Who is the current coordinator at time 6?,modality,"[""alternate_modality"", ""confirmed"", ""confirmed""]",,
observer-0505,Does Hana believe the meeting will occur?,modality,"[""confirmed"", ""confirmed"", ""alternate_modality""]",,
observer-0055,Does Dina believe the meeting will occur?,scope,"[""alternate_scope"", ""global"", ""global""]",,
counterfactual-0365,"In the hypothetical scenario, can users access service Alpha?",scope,"[""global"", ""global"", ""alternate_scope""]",,
source_conflict-0509,Who is the director?,world,"[""actual"", ""actual"", ""alternate_world""]",,
temporal-0515,Who is the current lead at time 17?,modality,"[""alternate_modality"", ""confirmed"", ""confirmed""]",,
hidden_premise-0078,Can I register now?,scope,"[""limited"", ""limited"", ""alternate_scope""]",,
temporal-0353,Who is the current lead at time 17?,modality,"[""alternate_modality"", ""confirmed"", ""confirmed""]",,
hidden_premise-0515,Can I register now?,world,"[""alternate_world"", ""actual"", ""actual""]",,
